PV Version: 1.3
Date: 2017-06-06 09:32:25 AM
Protein directory: p3/pdbs
Volume probe radius: 0.080A -> 0.020A
Surface probe minimum distance: 0.1A

Protein               Total Volume (A3)      Void Volume       VDW Volume  Packing Density  Time Taken (ms)
whole_t000                     8456.112         1343.441         7112.671            0.841  130769
whole_t001                     8460.527         1359.192         7101.335            0.839  137304
whole_t002                     8483.381         1379.414         7103.966            0.837  143764
whole_t003                     8440.417         1332.614         7107.803            0.842  150068
whole_t004                     8469.638         1362.908         7106.730            0.839  139381
whole_t005                     8473.319         1357.528         7115.791            0.840  141344
whole_t006                     8499.662         1389.027         7110.634            0.837  142322
whole_t007                     8482.332         1373.281         7109.052            0.838  136982
whole_t008                     8470.620         1366.967         7103.653            0.839  132013
whole_t009                     8522.531         1409.624         7112.907            0.835  135515
whole_t010                     8490.888         1384.063         7106.825            0.837  135195
whole_t011                     8435.266         1334.047         7101.219            0.842  136899
whole_t012                     8426.202         1318.520         7107.683            0.844  141275
whole_t013                     8546.442         1433.021         7113.421            0.832  140577
whole_t014                     8457.575         1338.894         7118.680            0.842  138798
whole_t015                     8466.263         1359.258         7107.005            0.839  137408
whole_t016                     8475.544         1367.065         7108.479            0.839  137648
whole_t017                     8459.705         1359.618         7100.087            0.839  135248
whole_t018                     8453.159         1341.861         7111.299            0.841  136163
whole_t019                     8423.904         1310.896         7113.008            0.844  142960
whole_t020                     8461.525         1353.348         7108.177            0.840  141495
whole_t021                     8496.228         1381.634         7114.595            0.837  142844
whole_t022                     8511.371         1397.790         7113.581            0.836  143829
whole_t023                     8479.048         1369.933         7109.115            0.838  136963
whole_t024                     8435.339         1338.264         7097.075            0.841  134719
whole_t025                     8466.179         1356.565         7109.614            0.840  135858
whole_t026                     8445.362         1341.546         7103.815            0.841  136016
whole_t027                     8398.950         1300.356         7098.595            0.845  140609
whole_t028                     8479.030         1380.624         7098.406            0.837  141548
whole_t029                     8609.589         1491.351         7118.238            0.827  138693
whole_t030                     8477.291         1368.159         7109.131            0.839  134760
whole_t031                     8516.834         1404.522         7112.312            0.835  137516
whole_t032                     8538.373         1445.270         7093.102            0.831  137938
whole_t033                     8486.642         1381.191         7105.451            0.837  150117
whole_t034                     8438.658         1336.580         7102.077            0.842  136709
whole_t035                     8436.761         1329.932         7106.829            0.842  143898
whole_t036                     8527.869         1415.870         7111.999            0.834  143794
whole_t037                     8476.540         1366.499         7110.041            0.839  138917
whole_t038                     8544.245         1428.304         7115.941            0.833  137884
whole_t039                     8479.316         1371.350         7107.966            0.838  133060
whole_t040                     8515.606         1404.478         7111.128            0.835  134200
whole_t041                     8541.011         1425.718         7115.294            0.833  134009
whole_t042                     8496.532         1393.271         7103.261            0.836  135494
whole_t043                     8485.829         1387.101         7098.727            0.837  137109
whole_t044                     8474.965         1373.060         7101.904            0.838  136636
whole_t045                     8473.626         1368.273         7105.353            0.839  133878
whole_t046                     8468.553         1356.338         7112.214            0.840  144721
whole_t047                     8485.133         1370.823         7114.311            0.838  139203
whole_t048                     8416.726         1308.131         7108.595            0.845  135179
whole_t049                     8471.156         1358.943         7112.213            0.840  135705
whole_t050                     8466.343         1350.193         7116.150            0.841  143528
whole_t051                     8498.130         1386.907         7111.223            0.837  144250
whole_t052                     8490.579         1376.067         7114.512            0.838  146843
whole_t053                     8478.221         1362.852         7115.369            0.839  135448
whole_t054                     8471.032         1372.683         7098.349            0.838  136620
whole_t055                     8499.337         1383.696         7115.641            0.837  150441
whole_t056                     8439.608         1331.965         7107.643            0.842  135511
whole_t057                     8454.811         1346.564         7108.247            0.841  146818
whole_t058                     8447.193         1331.715         7115.477            0.842  151079
whole_t059                     8393.006         1281.107         7111.899            0.847  140646
whole_t060                     8442.923         1340.040         7102.883            0.841  141070
whole_t061                     8407.463         1295.981         7111.481            0.846  143983
whole_t062                     8451.643         1344.602         7107.041            0.841  136896
whole_t063                     8425.036         1316.993         7108.043            0.844  131147
whole_t064                     8461.067         1355.204         7105.863            0.840  135761
whole_t065                     8453.074         1337.819         7115.255            0.842  132968
whole_t066                     8443.726         1337.534         7106.192            0.842  138486
whole_t067                     8407.874         1299.275         7108.599            0.845  135962
whole_t068                     8461.146         1348.231         7112.915            0.841  133433
whole_t069                     8469.620         1359.750         7109.870            0.839  140571
whole_t070                     8410.811         1294.675         7116.136            0.846  135613
whole_t071                     8474.730         1357.676         7117.054            0.840  134027
whole_t072                     8411.856         1302.106         7109.750            0.845  135164
whole_t073                     8466.339         1348.253         7118.086            0.841  137978
whole_t074                     8495.121         1374.118         7121.003            0.838  140709
whole_t075                     8558.408         1430.148         7128.261            0.833  144515
whole_t076                     8458.308         1344.856         7113.452            0.841  137182
whole_t077                     8511.927         1395.508         7116.420            0.836  137555
whole_t078                     8494.118         1386.403         7107.715            0.837  133023
whole_t079                     8522.815         1429.653         7093.162            0.832  133348
whole_t080                     8513.891         1394.655         7119.236            0.836  134508
whole_t081                     8478.982         1362.317         7116.665            0.839  137067
whole_t082                     8453.414         1340.859         7112.555            0.841  136114
whole_t083                     8531.351         1413.770         7117.581            0.834  133877
whole_t084                     8470.463         1356.733         7113.730            0.840  135711
whole_t085                     8494.643         1379.841         7114.802            0.838  131501
whole_t086                     8458.102         1351.437         7106.665            0.840  132091
whole_t087                     8518.701         1407.431         7111.270            0.835  141906
whole_t088                     8445.120         1333.523         7111.597            0.842  130356
whole_t089                     8485.931         1368.313         7117.618            0.839  139977
whole_t090                     8496.200         1367.310         7128.890            0.839  140863
whole_t091                     8508.051         1389.251         7118.801            0.837  139219
whole_t092                     8552.153         1440.622         7111.532            0.832  136486
whole_t093                     8518.364         1411.001         7107.363            0.834  141292
whole_t094                     8481.860         1382.727         7099.134            0.837  134844
whole_t095                     8487.554         1382.346         7105.208            0.837  130192
whole_t096                     8626.116         1514.966         7111.150            0.824  127837
whole_t097                     8582.245         1474.678         7107.566            0.828  132351
whole_t098                     8568.151         1453.758         7114.393            0.830  132788
whole_t099                     8500.473         1385.278         7115.195            0.837  134898
whole_t100                     8557.019         1445.440         7111.579            0.831  145941
whole_t101                     8575.771         1458.117         7117.654            0.830  130653
whole_t102                     8576.956         1459.519         7117.437            0.830  131834
whole_t103                     8519.794         1410.311         7109.482            0.834  129722
whole_t104                     8564.844         1450.266         7114.578            0.831  130335
whole_t105                     8528.838         1419.621         7109.217            0.834  128712
whole_t106                     8555.613         1442.938         7112.674            0.831  136461
whole_t107                     8544.959         1433.289         7111.670            0.832  132104
whole_t108                     8477.863         1366.029         7111.834            0.839  136186
whole_t109                     8516.601         1410.872         7105.729            0.834  139726
whole_t110                     8510.636         1393.818         7116.818            0.836  135294
whole_t111                     8507.001         1387.161         7119.840            0.837  136771
whole_t112                     8476.276         1361.127         7115.149            0.839  133433
whole_t113                     8514.403         1398.288         7116.115            0.836  131821
whole_t114                     8495.750         1379.261         7116.490            0.838  133803
whole_t115                     8478.624         1373.497         7105.126            0.838  133876
whole_t116                     8516.563         1402.804         7113.758            0.835  136679
whole_t117                     8466.964         1357.242         7109.722            0.840  138761
whole_t118                     8471.771         1352.506         7119.265            0.840  137283
whole_t119                     8461.953         1342.813         7119.140            0.841  140956
whole_t120                     8449.553         1326.757         7122.797            0.843  136758
whole_t121                     8483.551         1364.233         7119.318            0.839  133473
whole_t122                     8462.749         1347.553         7115.195            0.841  134721
whole_t123                     8493.348         1377.054         7116.294            0.838  133831
whole_t124                     8475.916         1361.141         7114.775            0.839  131041
whole_t125                     8449.958         1326.866         7123.091            0.843  138698
whole_t126                     8471.546         1357.163         7114.383            0.840  136289
whole_t127                     8460.370         1352.278         7108.092            0.840  130253
whole_t128                     8498.865         1380.549         7118.316            0.838  135675
whole_t129                     8417.818         1297.178         7120.640            0.846  137702
whole_t130                     8449.974         1337.845         7112.129            0.842  133344
whole_t131                     8506.502         1389.990         7116.512            0.837  132889
whole_t132                     8450.622         1325.832         7124.790            0.843  141429
whole_t133                     8457.395         1342.359         7115.037            0.841  136165
whole_t134                     8494.464         1382.537         7111.926            0.837  130312
whole_t135                     8488.025         1361.003         7127.022            0.840  134114
whole_t136                     8445.615         1336.957         7108.658            0.842  136174
whole_t137                     8503.747         1388.083         7115.664            0.837  135257
whole_t138                     8429.048         1308.991         7120.056            0.845  145184
whole_t139                     8418.559         1299.209         7119.350            0.846  137910
whole_t140                     8419.034         1305.415         7113.619            0.845  134207
whole_t141                     8428.433         1310.956         7117.477            0.844  132546
whole_t142                     8421.912         1308.624         7113.288            0.845  131175
whole_t143                     8452.661         1327.499         7125.161            0.843  131951
whole_t144                     8438.092         1319.911         7118.181            0.844  136902
whole_t145                     8466.658         1351.030         7115.628            0.840  121121
whole_t146                     8420.060         1298.333         7121.728            0.846  118434
whole_t147                     8467.665         1346.356         7121.309            0.841  93792
whole_t148                     8451.865         1335.248         7116.617            0.842  85050
whole_t149                     8431.247         1317.195         7114.052            0.844  88802
whole_t150                     8590.329         1466.536         7123.792            0.829  94373
whole_t151                     8509.587         1403.092         7106.495            0.835  84753
whole_t152                     8474.596         1353.825         7120.771            0.840  89797
whole_t153                     8522.552         1407.349         7115.203            0.835  88646
whole_t154                     8488.988         1373.069         7115.919            0.838  85025
whole_t155                     8500.048         1385.893         7114.156            0.837  85166
whole_t156                     8467.572         1359.601         7107.970            0.839  92543
