PV Version: 1.3
Date: 2017-06-06 09:32:25 AM
Protein directory: p1/pdbs
Volume probe radius: 0.080A -> 0.020A
Surface probe minimum distance: 0.1A

Protein               Total Volume (A3)      Void Volume       VDW Volume  Packing Density  Time Taken (ms)
whole_t000                     8472.283         1360.252         7112.032            0.839  128477
whole_t001                     8576.284         1464.626         7111.658            0.829  134298
whole_t002                     8564.049         1449.083         7114.966            0.831  141713
whole_t003                     8569.561         1456.525         7113.036            0.830  143728
whole_t004                     8585.977         1475.099         7110.877            0.828  138781
whole_t005                     8525.419         1410.969         7114.450            0.834  135548
whole_t006                     8501.310         1396.199         7105.111            0.836  134298
whole_t007                     8491.312         1387.949         7103.363            0.837  135087
whole_t008                     8539.064         1425.210         7113.854            0.833  136404
whole_t009                     8570.464         1458.614         7111.849            0.830  136061
whole_t010                     8559.419         1443.371         7116.048            0.831  133564
whole_t011                     8532.444         1425.490         7106.955            0.833  134035
whole_t012                     8504.858         1393.351         7111.507            0.836  137037
whole_t013                     8541.169         1429.865         7111.304            0.833  141499
whole_t014                     8472.242         1358.708         7113.535            0.840  140748
whole_t015                     8494.099         1384.238         7109.862            0.837  134047
whole_t016                     8530.196         1422.411         7107.785            0.833  134017
whole_t017                     8528.429         1412.681         7115.748            0.834  135558
whole_t018                     8481.235         1371.085         7110.151            0.838  135390
whole_t019                     8488.429         1383.465         7104.963            0.837  134241
whole_t020                     8500.877         1389.249         7111.628            0.837  135530
whole_t021                     8463.477         1351.743         7111.733            0.840  137235
whole_t022                     8469.056         1356.789         7112.267            0.840  135345
whole_t023                     8575.653         1458.703         7116.949            0.830  137168
whole_t024                     8492.490         1382.150         7110.340            0.837  134359
whole_t025                     8557.365         1445.058         7112.307            0.831  132251
whole_t026                     8495.013         1384.147         7110.866            0.837  130555
whole_t027                     8560.836         1456.709         7104.126            0.830  130662
whole_t028                     8519.532         1409.772         7109.760            0.835  128035
whole_t029                     8490.782         1380.624         7110.158            0.837  141394
whole_t030                     8540.867         1421.109         7119.758            0.834  134292
whole_t031                     8495.733         1388.863         7106.870            0.837  132006
whole_t032                     8532.286         1421.749         7110.536            0.833  138064
whole_t033                     8441.968         1335.515         7106.453            0.842  134179
whole_t034                     8473.257         1360.119         7113.138            0.839  138907
whole_t035                     8505.443         1399.461         7105.982            0.835  130738
whole_t036                     8532.977         1420.068         7112.909            0.834  139275
whole_t037                     8563.479         1442.202         7121.277            0.832  140349
whole_t038                     8587.647         1459.309         7128.339            0.830  140338
whole_t039                     8489.364         1372.682         7116.682            0.838  139749
whole_t040                     8580.529         1451.186         7129.343            0.831  137600
whole_t041                     8453.939         1335.665         7118.274            0.842  143474
whole_t042                     8466.078         1340.670         7125.408            0.842  151161
whole_t043                     8563.911         1444.854         7119.057            0.831  142104
whole_t044                     8553.023         1425.128         7127.895            0.833  144656
whole_t045                     8546.982         1411.915         7135.067            0.835  145961
whole_t046                     8556.559         1428.984         7127.576            0.833  142591
whole_t047                     8596.291         1478.071         7118.219            0.828  139140
whole_t048                     8560.495         1435.382         7125.113            0.832  138438
whole_t049                     8520.626         1390.874         7129.752            0.837  137258
whole_t050                     8469.494         1346.282         7123.212            0.841  142272
whole_t051                     8504.848         1372.356         7132.492            0.839  145902
whole_t052                     8426.200         1309.986         7116.215            0.845  144611
whole_t053                     8484.991         1362.122         7122.869            0.839  144452
whole_t054                     8514.490         1395.334         7119.156            0.836  140160
whole_t055                     8513.677         1389.470         7124.207            0.837  140349
whole_t056                     8571.015         1447.063         7123.952            0.831  141453
whole_t057                     8503.461         1389.581         7113.880            0.837  138765
whole_t058                     8518.047         1388.721         7129.326            0.837  139253
whole_t059                     8595.983         1472.702         7123.281            0.829  136819
whole_t060                     8642.063         1515.992         7126.071            0.825  140273
whole_t061                     8535.354         1410.915         7124.439            0.835  145090
whole_t062                     8541.516         1422.286         7119.230            0.833  146063
whole_t063                     8556.949         1435.075         7121.873            0.832  136096
whole_t064                     8525.681         1408.801         7116.880            0.835  138578
whole_t065                     8531.230         1421.823         7109.408            0.833  135545
whole_t066                     8524.281         1414.855         7109.426            0.834  134837
whole_t067                     8530.575         1421.560         7109.014            0.833  138423
whole_t068                     8616.102         1498.025         7118.078            0.826  134815
whole_t069                     8607.862         1494.885         7112.977            0.826  134671
whole_t070                     8581.172         1460.043         7121.129            0.830  139509
whole_t071                     8630.209         1511.238         7118.971            0.825  129369
whole_t072                     8443.722         1327.839         7115.883            0.843  139353
whole_t073                     8477.496         1361.521         7115.975            0.839  137054
whole_t074                     8461.227         1347.283         7113.944            0.841  133640
whole_t075                     8452.056         1350.828         7101.228            0.840  140707
whole_t076                     8524.122         1409.466         7114.656            0.835  132299
whole_t077                     8459.975         1343.826         7116.149            0.841  139578
whole_t078                     8480.855         1366.077         7114.778            0.839  140572
whole_t079                     8529.725         1417.979         7111.746            0.834  139702
whole_t080                     8559.895         1434.560         7125.335            0.832  138146
whole_t081                     8443.036         1321.583         7121.453            0.843  145616
whole_t082                     8515.023         1398.784         7116.238            0.836  135420
whole_t083                     8470.858         1354.667         7116.191            0.840  136082
whole_t084                     8432.241         1331.409         7100.832            0.842  133652
whole_t085                     8453.612         1343.382         7110.230            0.841  138734
whole_t086                     8525.117         1413.744         7111.373            0.834  136715
whole_t087                     8489.768         1382.018         7107.750            0.837  138418
whole_t088                     8448.671         1337.604         7111.066            0.842  138924
whole_t089                     8407.275         1290.798         7116.477            0.846  138725
whole_t090                     8482.881         1367.428         7115.453            0.839  138459
whole_t091                     8536.672         1412.458         7124.214            0.835  136297
whole_t092                     8529.735         1417.166         7112.568            0.834  139674
whole_t093                     8506.880         1394.307         7112.573            0.836  139728
whole_t094                     8492.311         1377.747         7114.564            0.838  136151
whole_t095                     8498.062         1374.439         7123.623            0.838  138715
whole_t096                     8492.087         1373.230         7118.858            0.838  138773
whole_t097                     8612.026         1486.111         7125.915            0.827  135818
whole_t098                     8562.101         1447.636         7114.465            0.831  137316
whole_t099                     8553.351         1440.079         7113.271            0.832  134566
whole_t100                     8549.951         1434.229         7115.721            0.832  141969
whole_t101                     8637.496         1508.503         7128.993            0.825  142568
whole_t102                     8461.464         1338.684         7122.780            0.842  142206
whole_t103                     8517.565         1408.088         7109.477            0.835  136027
whole_t104                     8576.809         1466.167         7110.641            0.829  137572
whole_t105                     8596.953         1472.174         7124.779            0.829  138168
whole_t106                     8580.491         1463.118         7117.373            0.829  132322
whole_t107                     8481.365         1369.547         7111.818            0.839  133876
whole_t108                     8484.403         1375.814         7108.588            0.838  134040
whole_t109                     8474.356         1364.457         7109.899            0.839  142610
whole_t110                     8478.968         1374.306         7104.662            0.838  139193
whole_t111                     8497.807         1389.294         7108.513            0.837  134927
whole_t112                     8575.429         1460.857         7114.571            0.830  134138
whole_t113                     8541.253         1434.291         7106.962            0.832  134526
whole_t114                     8558.587         1442.021         7116.566            0.832  135430
whole_t115                     8507.692         1391.802         7115.890            0.836  132734
whole_t116                     8493.010         1381.811         7111.199            0.837  135315
whole_t117                     8507.190         1388.959         7118.232            0.837  136377
whole_t118                     8530.239         1404.432         7125.808            0.835  136310
whole_t119                     8466.725         1347.893         7118.832            0.841  137960
whole_t120                     8475.704         1345.179         7130.525            0.841  139393
whole_t121                     8506.899         1383.978         7122.921            0.837  139448
whole_t122                     8471.733         1357.086         7114.647            0.840  138419
whole_t123                     8545.196         1429.056         7116.140            0.833  139417
whole_t124                     8468.539         1350.999         7117.540            0.840  139286
whole_t125                     8506.117         1384.565         7121.552            0.837  137723
whole_t126                     8414.520         1300.258         7114.262            0.845  140951
whole_t127                     8523.450         1398.606         7124.844            0.836  138224
whole_t128                     8558.636         1442.977         7115.659            0.831  135760
whole_t129                     8484.006         1355.482         7128.523            0.840  136850
whole_t130                     8468.182         1346.707         7121.476            0.841  136454
whole_t131                     8515.726         1389.501         7126.225            0.837  136410
whole_t132                     8447.176         1329.874         7117.301            0.843  136484
whole_t133                     8522.089         1394.071         7128.018            0.836  135139
whole_t134                     8480.994         1363.110         7117.883            0.839  135784
whole_t135                     8503.505         1380.366         7123.139            0.838  136242
whole_t136                     8498.904         1383.118         7115.786            0.837  136564
whole_t137                     8441.850         1330.918         7110.932            0.842  139304
whole_t138                     8488.780         1369.255         7119.525            0.839  139744
whole_t139                     8417.543         1305.388         7112.155            0.845  137777
whole_t140                     8457.477         1344.633         7112.844            0.841  132575
whole_t141                     8483.039         1365.509         7117.530            0.839  127373
whole_t142                     8467.708         1359.741         7107.967            0.839  124985
whole_t143                     8454.980         1339.488         7115.491            0.842  134796
whole_t144                     8433.735         1314.615         7119.119            0.844  127462
whole_t145                     8495.631         1374.619         7121.012            0.838  127526
whole_t146                     8401.642         1288.322         7113.321            0.847  102507
